ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TIME,VOICE
-0.15322891,0.0,9.80665,-0.006385351,-0.006385351,-0.0021284502,0.0,2017-06-10 15:04:12,40.96347237177942
-0.15322891,0.0,9.653421,0.0031926755,-0.006385351,-0.0042569004,0.0,2017-06-10 15:04:13,18.41607106226946
-0.15322891,-0.15322891,9.653421,-0.005321126,-0.007449576,-0.007449576,0.0,2017-06-10 15:04:14,49.2421625924137
-0.15322891,-0.15322891,9.80665,-0.0010642251,-0.0021284502,-0.0031926755,0.0,2017-06-10 15:04:15,16.619309413533504
-0.15322891,0.0,9.80665,-0.0031926755,-0.008513801,-0.006385351,0.0,2017-06-10 15:04:16,46.46836395856668
-0.15322891,0.0,9.653421,-0.0021284502,-0.0042569004,-0.0031926755,0.0,2017-06-10 15:04:17,49.721508345204306
-0.15322891,0.0,9.80665,-0.0021284502,-0.007449576,-0.0021284502,0.0,2017-06-10 15:04:18,48.227697772132686
-0.15322891,0.0,9.80665,0.0010642251,-0.007449576,-0.0031926755,0.0,2017-06-10 15:04:19,49.088179620279874
-0.15322891,0.0,9.653421,-0.0042569004,-0.007449576,-0.0021284502,0.0,2017-06-10 15:04:20,47.25926598325713
-0.15322891,0.0,9.80665,-0.0,-0.006385351,-0.0010642251,0.0,2017-06-10 15:04:21,14.359969047642327
-0.15322891,0.0,9.653421,-0.0021284502,0.0010642251,-0.0042569004,0.0,2017-06-10 15:04:22,46.738056467958195
-0.15322891,0.0,9.80665,-0.0010642251,-0.005321126,0.0031926755,0.0,2017-06-10 15:04:23,45.02317650550131
-0.15322891,-0.15322891,9.653421,-0.0021284502,-0.0042569004,-0.006385351,0.0,2017-06-10 15:04:24,40.9786051132682
-0.15322891,-0.15322891,9.653421,-0.0042569004,-0.006385351,-0.0031926755,0.0,2017-06-10 15:04:25,49.083685993975095
-0.15322891,0.0,9.653421,-0.007449576,-0.007449576,-0.0042569004,0.0,2017-06-10 15:04:26,48.36520366450321
-0.15322891,0.0,9.80665,-0.0021284502,-0.009578027,-0.0031926755,0.0,2017-06-10 15:04:27,34.69970742503304
-0.15322891,0.0,9.653421,-0.005321126,-0.005321126,-0.0042569004,0.0,2017-06-10 15:04:28,18.265067216642272
-0.15322891,0.0,9.80665,-0.0031926755,-0.005321126,-0.0042569004,0.0,2017-06-10 15:04:29,42.30344593016703
-0.15322891,0.0,9.80665,-0.0021284502,-0.0042569004,-0.0,0.0,2017-06-10 15:04:30,13.66695278762492
-0.15322891,0.0,9.80665,-0.0,0.0021284502,-0.0042569004,0.0,2017-06-10 15:04:31,49.10889844500584
-0.15322891,0.0,9.80665,-0.0021284502,-0.0010642251,-0.0042569004,0.0,2017-06-10 15:04:32,47.94630580604996
-0.15322891,-0.15322891,9.653421,-0.0010642251,0.0,-0.0042569004,0.0,2017-06-10 15:04:33,50.185752153427366
-0.15322891,0.0,9.80665,0.0010642251,-0.0021284502,-0.0031926755,0.0,2017-06-10 15:04:34,42.50950144103844
-0.15322891,-0.15322891,9.80665,-0.0010642251,-0.011706477,0.0010642251,0.0,2017-06-10 15:04:35,48.24154522774967
-0.15322891,0.0,9.653421,-0.0031926755,-0.0031926755,-0.0021284502,0.0,2017-06-10 15:04:36,48.13127360976142
-0.15322891,0.0,9.80665,0.0021284502,-0.006385351,-0.0031926755,0.0,2017-06-10 15:04:37,51.41048538584911
-0.15322891,0.0,9.80665,-0.0042569004,-0.008513801,-0.0010642251,0.0,2017-06-10 15:04:38,49.81442918495191
-0.15322891,0.0,9.80665,0.0031926755,-0.009578027,-0.0021284502,0.0,2017-06-10 15:04:39,57.88985517288643
-0.15322891,0.0,9.80665,-0.0031926755,-0.008513801,-0.0021284502,0.0,2017-06-10 15:04:40,46.810648825383
-0.15322891,0.0,9.653421,0.0010642251,-0.006385351,-0.006385351,0.0,2017-06-10 15:04:41,48.44703117846019
